Contrast,Label
297.54464469491205,defective
625.0361298824711,defective
638.2836939003283,defective
657.3269096915906,defective
809.8182276633997,defective
729.3540984233182,defective
676.5725592318507,defective
631.1622771405492,defective
605.6208953183035,defective
695.4797929563347,defective
562.199756304761,defective
690.2354895381512,defective
583.8906154111702,defective
756.9770708734055,defective
678.5841262723981,defective
1466.7179770519876,defective
666.9456608609379,defective
336.6950803341802,defective
1415.9522952009158,defective
187.44720953448177,defective
1055.0240377569921,defective
365.87825208347675,defective
187.7292034360104,defective
538.9752220588948,defective
993.4714873252251,defective
1033.5723204872731,defective
154.53180916697062,defective
2528.036634350632,defective
2716.362262028485,defective
1985.364205543725,defective
169.83192318261192,defective
415.85522070360724,defective
287.5458017068875,defective
497.04603275044474,defective
387.0849834615313,defective
591.652390735767,defective
224.04860133094482,defective
170.16317143821115,defective
451.98284325935464,defective
671.7778292854197,defective
1673.725481792222,defective
774.6514197338246,defective
939.7553703600219,defective
635.5760697490699,defective
896.4337326975242,defective
833.6118598956117,defective
1082.9925236793085,defective
568.3574847435915,defective
637.5707795978309,defective
778.5697084401685,defective
863.082894680109,defective
500.955455251945,defective
891.8659600928922,defective
1575.767279828521,defective
805.1551418124412,Raw
1735.76679327967,Raw
445.50077373866,Raw
1046.120079758569,Raw
980.1043376174412,Raw
2074.7036743823137,Raw
641.1438325798653,Raw
641.6693067381293,Raw
814.312696376607,Raw
630.6588929293168,Raw
1262.9412680134,Raw
1176.1185617395854,Raw
773.3252889186086,Raw
797.1977574999731,Raw
841.5008031469639,Raw
936.2015420811389,Raw
548.1503081635498,Raw
792.0238281556359,Raw
560.642102227259,Raw
983.9494786197097,Raw
1861.5500067589328,Raw
601.8956975676896,Raw
470.52784615762715,Raw
1076.5533265457464,Raw
480.9016212494069,Raw
807.0715030014549,Raw
974.0494066262681,Raw
936.1920370977532,Raw
454.7061592693628,Raw
1390.7574069658046,Raw
1092.9213814960146,Raw
565.1029976902112,Raw
595.3462518037464,Raw
397.464600365179,Raw
525.9379432722453,Raw
485.5400241702611,Raw
709.4122142508108,Raw
617.7414927704002,Raw
1202.9942826625238,Raw
849.0818196900905,Raw
637.2870083196532,Raw
386.2684173030572,Raw
1020.8643737220451,Raw
782.2955218400388,Raw
928.385310434474,Raw
680.1671780755233,Raw
686.6503710244073,Raw
1005.2095985777124,Raw
800.3806825012115,Raw
920.0304229510563,Raw
451.06015402462,Raw
1028.1479895240202,Raw
367.61624508349587,Raw
964.3294672150224,Raw
670.1915747590973,Raw
534.254876500146,Raw
618.2963370194985,Raw
643.8207083264638,Raw
798.813637335876,Raw
1395.41917721275,Raw
788.0961001808452,Raw
685.3173703117478,Raw
307.866594181821,Raw
1152.9541624469348,Raw
943.6732106946579,Raw
1098.6378824244625,Raw
553.5451998509135,Raw
996.5375535613217,Raw
583.1208820322245,Raw
440.9784043303243,Raw
1831.703562135619,Raw
886.074940919028,Raw
764.1657825382932,Raw
542.3484938189665,Raw
651.7009331926239,Raw
542.9208101224322,Ripened
359.9888808081499,Ripened
692.2192417681267,Ripened
1755.2833280214793,Ripened
442.7355081603393,Ripened
1442.74714893887,Ripened
556.4582723837177,Ripened
839.825771109622,Ripened
614.1981408117309,Ripened
1117.1687874347542,Ripened
332.0424724591199,Ripened
614.458970731373,Ripened
446.88346614260576,Ripened
370.2872630892557,Ripened
903.9116141767716,Ripened
439.10258261332405,Ripened
521.8308507106088,Ripened
410.5966778804343,Ripened
868.5163369213292,Ripened
1428.5134457110482,Ripened
851.754245533722,Ripened
438.66183411252837,Ripened
439.04429356438396,Ripened
840.2072821814714,Ripened
509.88737120806246,Ripened
418.495589444163,Ripened
524.8626549781984,Ripened
688.2985329063323,Ripened
575.6756204131995,Ripened
775.119781490525,Ripened
337.81765091328,Ripened
469.6894965430122,Ripened
1894.3188218964463,Ripened
375.13320089648073,Ripened
340.74384303369044,Ripened
666.6387581722025,Ripened
950.1140959308854,Ripened
302.60735402132315,Ripened
1089.5412851416522,Ripened
1227.2063742297457,Ripened
663.9272183789494,Ripened
633.2510980044754,Ripened
673.9871508788905,Ripened
1216.7606433378587,Ripened
301.46926861332497,Ripened
454.2317664629916,Ripened
618.2395062281838,Ripened
369.3270329917929,Ripened
1159.7501690636616,Ripened
794.9292443556982,Ripened
305.21000154435336,Ripened
1002.7357615793406,Ripened
465.3397778206238,Ripened
551.524853503453,Ripened
635.6151887298369,Ripened
320.7538798175695,Ripened
839.0360922432473,Ripened
507.8752921390498,Ripened
1145.8191504497615,Ripened
610.1331789561128,Ripened
690.0268373759828,Ripened
491.7487408841409,Ripened
518.6141367743705,Ripened
488.6189241758277,Ripened
741.815041381784,Ripened
1186.0717701288988,Ripened
735.1149619221975,Ripened
283.44160339136545,Ripened
418.76592524533595,Ripened
908.2500079537805,Ripened
749.9383710417834,Ripened
347.68165102723697,Ripened
354.9579203661085,Ripened
679.0657243494794,Ripened
579.060276502863,Ripened
492.7758662752056,Ripened
620.1412907144966,Ripened
638.1495099893898,Ripened
678.1644837917826,Ripened
552.8578627102669,Ripened
557.6483689279112,Ripened
1162.5280358857656,Ripened
263.1184299314046,Ripened
770.8509570560094,Ripened
274.74996270085705,Ripened
343.22526371626395,Ripened
854.6007072919211,Ripened
1151.325411969272,Ripened
497.1858506735357,Ripened
1172.8298433523648,Ripened
276.94385100009816,Ripened
461.3191119298296,Ripened
930.5571905958826,Ripened
275.7496159149423,Ripened
837.1019793913892,Ripened
610.1126991566024,Ripened
